month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-11,North Dakota,274,16,1731,3237,135,105,18,0,0,0,62,145,0,7,0,0,0,0,8,0,0,0,0,0,5738
2019-11,Ohio,9271,100,25230,24933,2034,1390,6,8,9,0,1137,823,7,57,19,0,0,0,28,33,3,2,1,1,65092
2019-11,Oklahoma,2483,0,18679,12894,1279,1417,0,20,16,1,2138,1788,7,10,0,1,1,0,36,35,13,3,1,1,40823
2019-11,Oregon,4844,653,15105,11503,0,9,4,0,0,0,0,0,0,131,56,0,0,0,0,0,0,0,0,0,32305
2019-11,Pennsylvania,18877,0,49972,22212,39,0,245,0,0,0,0,0,0,547,118,1,0,0,0,0,0,0,0,0,92011
2019-11,Puerto Rico,0,0,1902,203,114,30,0,0,0,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2273
2019-11,Rhode Island,0,0,1039,747,57,174,0,0,0,0,3,0,0,52,54,0,0,0,13,9,0,0,1,0,2149
2019-11,South Carolina,7254,179,11531,9303,822,745,0,18,12,0,965,546,9,168,14,1,0,0,16,9,1,0,0,0,31593
2019-11,South Dakota,409,2,2687,4634,205,216,0,1,3,0,120,217,0,0,0,0,0,0,2,8,5,1,0,0,8510
2019-11,Tennessee,8140,37,27826,21101,1706,0,0,0,0,0,1,2,0,68,9,0,0,0,0,0,0,0,0,0,58890
2019-11,Texas,23710,0,57252,41942,3592,3519,0,81,49,4,6229,3981,42,75,3,0,0,0,60,47,6,3,3,0,140598
2019-11,Utah,11392,54755,4095,5038,388,0,0,1,3,0,245,253,1,130,31,22,0,0,0,0,0,0,0,0,76354
2019-11,Vermont,0,0,1176,1739,106,61,3,0,0,0,5,1,1,0,0,0,0,0,2,0,0,0,0,0,3094
2019-11,Virgin Islands,218,0,21,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
2019-11,Virginia,438,458,27949,23374,5338,2,2,0,0,0,0,0,0,84,17,0,0,0,0,0,0,0,0,0,57662
2019-11,Washington,11440,374,13487,10163,2902,49,29,3,102,3,363,708,12,487,95,8,0,0,244,226,63,0,6,0,40764
2019-11,West Virginia,1536,155,5980,9834,299,406,0,9,11,0,943,1648,1,4,0,0,0,0,13,10,1,0,1,0,20851
2019-11,Wisconsin,8109,559,15182,18344,1020,65,0,0,0,11,125,336,4,104,36,5,0,0,0,9,0,0,0,0,43909
2019-11,Wyoming,251,16,2094,2425,169,129,0,3,5,0,141,163,2,0,0,0,0,0,4,7,0,1,1,0,5411
2019-10,Alabama,25615,635,16759,13692,1078,938,0,31,20,2,2883,1515,19,1,1,0,0,0,34,24,6,0,1,0,63254
2019-10,Alaska,168,5,3304,3510,392,302,0,0,0,0,281,243,0,31,12,0,0,0,23,9,0,1,0,0,8281
2019-10,Arizona,5151,686,11543,7509,1138,798,0,12,8,1,1208,620,5,103,14,0,0,0,21,13,3,0,0,0,28833
2019-10,Arkansas,3031,825,4809,7173,351,391,3,12,15,0,1074,1585,7,0,0,0,0,0,13,11,2,0,1,0,19303
2019-10,California,36057,0,32128,23005,4198,0,0,0,0,0,489,365,10,0,0,0,0,0,0,0,0,0,0,0,96252
2019-10,Colorado,6006,0,15537,13269,1347,1021,0,0,0,0,0,0,0,332,52,0,0,0,0,0,0,0,0,0,37564
2019-10,Connecticut,5230,505,4347,1990,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12574
2019-10,Delaware,199,0,1624,1749,116,101,0,2,3,0,14,9,0,56,0,0,0,0,59,40,8,1,1,0,3982
2019-10,District of Columbia,814,0,113,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933
2019-10,Florida,16293,0,47504,19816,3830,2494,3,47,13,0,4194,1357,8,950,124,32,0,0,235,147,38,67,62,0,97214
2019-10,Georgia,17918,0,11105,9858,598,644,0,25,16,4,1853,1368,4,7,1,0,0,0,10,5,1,0,0,0,43417
2019-10,Guam,0,0,125,69,14,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,217
2019-10,Hawaii,1099,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1102
2019-10,Idaho,8467,8,3784,5530,375,243,0,5,12,0,368,526,0,42,14,0,0,0,4,13,1,0,0,0,19392
2019-10,Illinois,12414,437512,17482,10040,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478329
2019-10,Indiana,759,44436,16204,12595,1528,775,24,10,4,3,681,457,24,21,1,0,0,0,42,106,34,6,3,0,77713
2019-10,Iowa,5707,7641,174,2940,46,4,1,0,0,0,1,40,0,37,14,0,0,0,0,0,0,0,0,0,16605
2019-10,Kansas,1270,8,4917,5227,480,330,0,10,5,3,635,352,4,51,9,3,0,0,9,7,3,1,0,0,13324
2019-10,Kentucky,2238,279272,8759,8890,455,612,0,22,28,1,1834,1489,1,6,5,0,0,0,17,18,2,1,0,0,303650
2019-10,Louisiana,1606,193,8450,11231,674,568,1,11,15,2,1004,1086,8,0,0,0,0,0,17,25,2,0,0,0,24893
2019-10,Maine,430,4,2997,5699,294,209,2,2,1,0,79,145,0,21,21,0,0,0,2,4,2,0,0,0,9912
2019-10,Mariana Islands,0,0,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
